Model,MSE,RMSE,RMSLE,R2
Original(세부분류),9.258286571502685,3.042736361489348,0.42589506751445727,0.0071433067321777345
+피해차종(시간),9.263732814788819,3.043625140241745,0.42584434939637933,0.006559264659881592
+피해성별(도로형태2),9.242001628875732,3.040062703888395,0.4259093504566174,0.008889693021774291
+가해성별(도로형태1),9.294267272949218,3.0486413977610023,0.42574129530075505,0.0032847106456756594
+가해차종(노면상태),9.253608322143554,3.0419682350081927,0.42626341976720117,0.0076449871063232425
+피해연령(기상상태),9.294228172302246,3.0486410090968894,0.4255719996915774,0.003288936614990234
+피해성별/피해차종,9.233256816864014,3.038622892655669,0.42632938150456273,0.009827494621276855
+피해성별/피해연령,9.255396366119385,3.042265497887451,0.425897031630514,0.007453250885009766
+피해성별/가해차종,9.250835704803468,3.041505260871296,0.42614127796951806,0.0079423189163208
+피해성별/가해성별,9.250999069213867,3.0415340133429423,0.4260074383071947,0.007924789190292358
