ID,ECLO
ACCIDENT_39609,4.20927
ACCIDENT_39610,3.812648
ACCIDENT_39611,5.071615
ACCIDENT_39612,4.823057
ACCIDENT_39613,4.7925735
ACCIDENT_39614,4.041901
ACCIDENT_39615,4.604414
ACCIDENT_39616,3.848996
ACCIDENT_39617,4.389859
ACCIDENT_39618,4.725396
ACCIDENT_39619,4.5088
ACCIDENT_39620,3.3155582
ACCIDENT_39621,4.1606913
ACCIDENT_39622,3.2400963
ACCIDENT_39623,3.0987473
ACCIDENT_39624,4.4490647
ACCIDENT_39625,4.3164454
ACCIDENT_39626,4.601346
ACCIDENT_39627,4.4609284
ACCIDENT_39628,4.8019104
ACCIDENT_39629,3.5227194
ACCIDENT_39630,3.679039
ACCIDENT_39631,4.3754945
ACCIDENT_39632,4.518132
ACCIDENT_39633,4.707795
ACCIDENT_39634,4.661503
ACCIDENT_39635,4.767057
ACCIDENT_39636,4.843304
ACCIDENT_39637,3.6665254
ACCIDENT_39638,4.6415744
ACCIDENT_39639,4.5930185
ACCIDENT_39640,4.329911
ACCIDENT_39641,4.702001
ACCIDENT_39642,3.266904
ACCIDENT_39643,4.76252
ACCIDENT_39644,3.2193644
ACCIDENT_39645,3.2023168
ACCIDENT_39646,4.8908343
ACCIDENT_39647,5.1249075
ACCIDENT_39648,4.8993816
ACCIDENT_39649,3.233459
ACCIDENT_39650,3.6669905
ACCIDENT_39651,3.5664997
ACCIDENT_39652,4.8887486
ACCIDENT_39653,3.6652727
ACCIDENT_39654,3.6272016
ACCIDENT_39655,3.97093
ACCIDENT_39656,4.2561526
ACCIDENT_39657,4.181449
ACCIDENT_39658,4.411115
ACCIDENT_39659,3.8880167
ACCIDENT_39660,4.309808
ACCIDENT_39661,4.1034346
ACCIDENT_39662,4.7935276
ACCIDENT_39663,4.3729496
ACCIDENT_39664,3.6981335
ACCIDENT_39665,4.12354
ACCIDENT_39666,3.3396137
ACCIDENT_39667,4.017915
ACCIDENT_39668,3.5304987
ACCIDENT_39669,3.5856826
ACCIDENT_39670,4.1335545
ACCIDENT_39671,4.9601736
ACCIDENT_39672,4.864763
ACCIDENT_39673,3.7228866
ACCIDENT_39674,4.519821
ACCIDENT_39675,3.9722962
ACCIDENT_39676,4.226484
ACCIDENT_39677,3.3662055
ACCIDENT_39678,3.7972052
ACCIDENT_39679,4.2517643
ACCIDENT_39680,4.3110166
ACCIDENT_39681,3.3851368
ACCIDENT_39682,4.2454724
ACCIDENT_39683,3.9532695
ACCIDENT_39684,3.5655465
ACCIDENT_39685,4.376486
ACCIDENT_39686,5.202822
ACCIDENT_39687,4.4744062
ACCIDENT_39688,3.5880613
ACCIDENT_39689,4.4226737
ACCIDENT_39690,4.260931
ACCIDENT_39691,4.0319314
ACCIDENT_39692,4.0271916
ACCIDENT_39693,3.93264
ACCIDENT_39694,4.2671227
ACCIDENT_39695,4.108694
ACCIDENT_39696,4.8884535
ACCIDENT_39697,4.1941648
ACCIDENT_39698,4.3189344
ACCIDENT_39699,4.03746
ACCIDENT_39700,4.107654
ACCIDENT_39701,4.1655188
ACCIDENT_39702,4.065101
ACCIDENT_39703,4.339433
ACCIDENT_39704,4.3508716
ACCIDENT_39705,4.077557
ACCIDENT_39706,3.716961
ACCIDENT_39707,4.500014
ACCIDENT_39708,4.594334
ACCIDENT_39709,4.3885107
ACCIDENT_39710,3.6017482
ACCIDENT_39711,3.9987283
ACCIDENT_39712,4.0913534
ACCIDENT_39713,4.2673926
ACCIDENT_39714,4.6690235
ACCIDENT_39715,4.6739106
ACCIDENT_39716,4.578887
ACCIDENT_39717,4.5697985
ACCIDENT_39718,4.289734
ACCIDENT_39719,4.2767754
ACCIDENT_39720,4.131978
ACCIDENT_39721,4.415573
ACCIDENT_39722,4.5865493
ACCIDENT_39723,4.2846975
ACCIDENT_39724,4.2183456
ACCIDENT_39725,4.314417
ACCIDENT_39726,4.371023
ACCIDENT_39727,3.3714776
ACCIDENT_39728,4.1451592
ACCIDENT_39729,4.2759047
ACCIDENT_39730,4.4187098
ACCIDENT_39731,4.359785
ACCIDENT_39732,3.824302
ACCIDENT_39733,4.203938
ACCIDENT_39734,3.4436615
ACCIDENT_39735,4.1853433
