Model,MSE,RMSE,RMSLE,R2
Original,9.254578399658204,3.042127822756027,0.426035658291522,0.0075409710407257
+시간대구분,9.24099941253662,3.039894312603287,0.4261825138895977,0.0089971780776977
+시간대구분(군집),9.275439071655274,3.045547941229213,0.426078026913489,0.0053038895130157
+주말구분,9.269988441467286,3.044657711884497,0.4258479667946554,0.0058884143829345
+주말/시간대구분,9.299727821350098,3.049524835815624,0.4255430153423423,0.0026991486549377
+주말/시간대구분(군집),9.270558261871338,3.0447506384836727,0.425968557561848,0.0058272778987884
+공휴일구분,9.281183910369872,3.046496667801609,0.4261569394197166,0.0046877861022949
+공휴일/시간대구분,9.273051643371582,3.0451614474333426,0.425768113169793,0.005559903383255
+공휴일/시간대구분(군집),9.260419178009034,3.0430680765302625,0.426556119351739,0.0069146215915679
+주말/공휴일구분,9.25417890548706,3.0420598279087168,0.4263195457461862,0.0075838029384613
+시간대/주말/공휴일구분,9.273094367980956,3.0451623948258426,0.4261264928273505,0.0055553138256073
+시간대(군집)/주말/공휴일구분,9.274584007263185,3.0454100547240497,0.4261806269958644,0.0053955554962158
+주말/공휴일(3TYPE),9.271289157867432,3.0448756260026664,0.4257837772896066,0.0057489037513732
+주말/공휴일(3TYPE)/시간대구분,9.246379947662353,3.040775855275103,0.42592444797453366,0.008420157432556152
+주말/공휴일(3TYPE)/시간대구분(군집),9.263326358795165,3.0435627101220697,0.4262371559253718,0.00660284161567688
+주말/공휴일(4TYPE),9.26146879196167,3.0432621874941708,0.4257179182983177,0.006802058219909668
+주말/공휴일(4TYPE)/시간대구분,9.26753740310669,3.044259632123046,0.426165365387165,0.0061512291431427
+주말/공휴일(4TYPE)/시간대구분(군집),9.268750953674317,3.0444570028911015,0.42624224895953056,0.00602109432220459
