Model,MSE,RMSE,RMSLE,R2
Original,9.254578399658204,3.042127822756027,0.426035658291522,0.007540971040725708
+시간대구분,9.24099941253662,3.039894312603287,0.4261825138895977,0.008997178077697754
+시간대구분(군집),9.275439071655274,3.045547941229213,0.42607802691348906,0.005303889513015747
+주말구분,9.269988441467286,3.044657711884497,0.4258479667946554,0.00588841438293457
+주말/시간대구분,9.299727821350098,3.0495248358156237,0.4255430153423423,0.002699148654937744
+주말/시간대구분(군집),9.270558261871338,3.0447506384836727,0.42596855756184804,0.005827277898788452
+공휴일구분,9.281183910369872,3.0464966678016094,0.4261569394197166,0.004687786102294922
+공휴일/시간대구분,9.273051643371582,3.0451614474333426,0.42576811316979307,0.005559903383255005
+공휴일/시간대구분(군집),9.260419178009034,3.0430680765302625,0.426556119351739,0.0069146215915679935
+주말/공휴일구분,9.254178905487061,3.0420598279087168,0.42631954574618625,0.007583802938461304
+시간대/주말/공휴일구분,9.273094367980956,3.0451623948258426,0.4261264928273505,0.0055553138256073
+시간대(군집)/주말/공휴일구분,9.274584007263183,3.0454100547240497,0.4261806269958644,0.00539555549621582
+주말/공휴일(3TYPE),9.271289157867432,3.0448756260026664,0.4257837772896066,0.005748903751373291
