Model,MSE,RMSE,RMSLE,R2
Original,9.276590919494629,3.045735329661671,0.42604185841260955,0.005180346965789795
+구면적_Non_Scale,9.286053085327149,3.047293709917516,0.4263073963599219,0.004165637493133545
+구면적_MinMax,9.277328300476075,3.0458524537030858,0.4260317900857219,0.005101293325424194
+구면적_ZScore,9.261803245544433,3.043315531498668,0.4259977899903372,0.006766188144683838
+구면적_Robust,9.249442863464356,3.041283755190345,0.4262114104324243,0.008091694116592408
+CCTV밀도_Non_Scale,9.28316650390625,3.0468240774972988,0.42608569835105276,0.004475170373916626
+CCTV밀도_MinMax,9.253958702087402,3.042014673945532,0.4265102081263465,0.007607424259185791
+CCTV밀도_ZScore,9.256515598297119,3.0424465200442876,0.4261062770139339,0.007333219051361084
+CCTV밀도_Robust,9.257896614074706,3.0426770515688344,0.42640295271121254,0.007185101509094238
+보안등밀도_Non_Scale,9.291053676605225,3.0481102173301085,0.4263836040632677,0.0036293685436248778
+보안등밀도_MinMax,9.26280755996704,3.0434760471897575,0.42624936533466873,0.006658470630645752
+보안등밀도_ZScore,9.253770446777343,3.0419928662290636,0.42664886906775956,0.00762760043144226
+보안등밀도_Robust,9.277386283874511,3.045866437641915,0.42648569439629486,0.005095046758651733
+구면적(ZS)/CCTV밀도(ZS),9.247331714630127,3.0409376191108075,0.4260623173703856,0.008318066596984863
+구면적(ZS)/보안등밀도(MM),9.236630535125732,3.0391775600497772,0.42644280786010713,0.009465682506561279
+CCTV밀도(ZS)/보안등밀도(MM),9.26081714630127,3.0431527848412503,0.4260965535777303,0.00687190294265747
+면적(ZS)/CCTV밀도(ZS)/보안등밀도(MM),9.25511121749878,3.042218284358487,0.4260973409800662,0.007483828067779541
