Model,MSE,RMSE,RMSLE,R2
Original,9.271971797943117,3.0449827955387123,0.4259700652041085,0.0056757152080535
+기상상태_범주결합,9.240129756927493,3.0397494301932007,0.4262390766041821,0.0090904414653778
+기상상태제거,9.245591831207276,3.040648825361594,0.4260880526483547,0.0085046887397766
+노면상태_범주결합,9.287071323394777,3.0474607744753444,0.4260858717620044,0.0040564239025115
+노면상태_범주결합(기상상태포함),9.261905574798584,3.0433216328414523,0.4262629821043365,0.0067551970481872
+노면상태/기상상태_범주결합,9.241438102722167,3.039954904344253,0.4266113193358524,0.0089501082897186
+도로형태1_범주결합(기상상태제거),9.273579502105711,3.045245323832106,0.4260032580149347,0.0055032730102539
+도로형태1/기상상태_범주결합,9.267182445526124,3.044198658980462,0.4260496775500877,0.0061892986297607
+도로형태1_범주결합(기상상태포함),9.231660842895508,3.038357404696091,0.4260065133751601,0.0099986314773559
+기상상태/도로형태1(결합)/도로형태2(군집),9.255794143676756,3.042326100702084,0.426168746791946,0.007410591840744
+기상상태제거/도로형태2(군집),9.262912273406982,3.043494282831969,0.4258053969763363,0.0066472172737121
+기상상태제거/도로형태1(결합)/도로형태2(군집),9.246761417388916,3.0408439810742522,0.42604740519905854,0.008379262685775758
+도로형태2(군집),9.236314868927002,3.039122571609433,0.4261964076012819,0.0094995379447937
+도로형태1/2(결합),9.270282173156739,3.044705291358082,0.42595775249618084,0.005856895446777343
+도로형태1/2(결합)_기상상태제거,9.268736839294434,3.0444523560123096,0.42620860858091103,0.006022632122039795
+도로형태2(결합)_도로형태2(군집),9.245783519744872,3.0406813958207533,0.4261464039221772,0.008484137058258057
+기상상태(결합)/도로형태2(군집),9.220296382904053,3.036488466805606,0.42639872142333407,0.01121736764907837
+기상제거/도로형태2(결합_군집),9.24988250732422,3.041359038743143,0.4265524188810117,0.008044523000717164
+기상제거/도로형태1_2(결합)/도로형태2(군집),9.275624847412109,3.0455799431033865,0.42613071217892484,0.005283939838409424
+기상제거/도로형태2(결합),9.219490432739258,3.036358015670024,0.42659690357208807,0.011303812265396118
"+기상(결합)/도로형태2(결합, 군집)",9.247119617462157,3.0409016699305393,0.4258385491868316,0.008340835571289062
