Trial_Num,Layers,Activation,Optimizer,Loss_Func,Batch_Size,LR,L2_Lambda,MSE,RMSE,RMSLE,R2
0,"[256, 128, 64, 32]",relu,adam,huber,64,0.00023263997876350845,0.006992180494453723,9.27529239654541,3.0455364710581634,0.42519239951219234,0.005319654941558838
1,"[64, 32]",softplus,nadam,mse,32,0.0009773179438943421,0.06486322306317312,9.173884391784668,3.0288420876276576,0.42835091874220127,0.016194522380828857
2,"[128, 64, 32]",softplus,adam,rmsle,32,0.0009179914607752101,,20.575286865234375,4.535998993081279,0.921355278800838,-1.2064893245697021
3,"[64, 32]",relu,adam,mae,64,0.00045620558745178936,0.002700062231277344,10.549724578857422,3.2480339559274043,0.45124776623032997,-0.13135015964508057
4,"[256, 128, 64, 32, 16]",softplus,rmsprop,huber,32,0.0004367192321365172,0.002253774901278843,9.52795124053955,3.0867379611070893,0.4316572470938259,-0.021775484085083008
5,"[256, 128, 64, 32]",relu,nadam,huber,64,0.0011607123864944742,0.07362934496989118,9.503775596618652,3.0828194232907404,0.4319144368694043,-0.019182801246643066
6,"[64, 32]",softplus,adam,rmse,32,0.0001219416354521768,,9.196173667907715,3.032519359857034,0.4281064335772028,0.013804256916046143
7,"[64, 32]",relu,nadam,huber,32,0.00286932637867054,0.014687812476524247,9.262354850769043,3.043411712333552,0.4270498991494148,0.0067070722579956055
8,"[128, 64, 32]",elu,adam,mae,128,0.00033097207926725933,,10.265679359436035,3.2040098875371834,0.4440191292304147,-0.10088920593261719
9,"[64, 32]",relu,adam,mae,32,0.0012359788464927168,0.02596291798622818,10.968033790588379,3.3118021967787237,0.4648422433524198,-0.1762096881866455
10,"[512, 256, 128, 64, 32, 16]",elu,rmsprop,mse,64,0.00010123091641242678,,9.176371574401855,3.0292526428810547,0.42793716779305696,0.015927791595458984
11,"[256, 128, 64, 32]",relu,nadam,huber,128,0.006525395081676389,0.00874395952839027,9.514782905578613,3.0846041732414573,0.43178723292234145,-0.020363330841064453
12,"[512, 256, 128, 64]",relu,nadam,huber,64,0.00442924026755526,0.009192811365592949,9.553916931152344,3.0909411076810156,0.43146421530100487,-0.024560093879699707
13,"[256, 128, 64, 32]",relu,nadam,huber,64,0.0038667363773962045,0.01605934070199811,9.524600982666016,3.0861952275684077,0.4316881421201621,-0.021416187286376953
14,"[64, 32, 16]",relu,rmsprop,rmse,128,0.002491582009332418,0.0045617104098928055,9.1401948928833,3.0232755238124263,0.4282227954407556,0.01980745792388916
15,"[256, 128, 64, 32]",relu,adam,rmsle,32,0.009734575152097793,0.001203651235692225,9.481573104858398,3.07921631342431,0.42623396088189086,-0.016801953315734863
16,"[256, 128, 64, 32]",elu,adam,rmsle,64,0.008597747659163093,0.0010388017520246164,30.300090789794922,5.504551824607969,1.6602398301571182,-2.249375343322754
17,"[256, 128, 64, 32]",relu,adam,rmsle,64,0.0002042074777966101,0.0010426318786719356,9.371663093566895,3.0613172154428714,0.4245794641931779,-0.005015254020690918
18,"[256, 128, 64, 32]",relu,adam,rmsle,64,0.00020993458416250838,,9.273144721984863,3.0451838568442566,0.42648032308604356,0.0055498480796813965
19,"[256, 128, 64, 32]",elu,adam,rmsle,64,0.00018343320930832638,0.004096734241819127,9.360965728759766,3.059569533244794,0.4250691960607626,-0.0038679838180541992
20,"[128, 64, 32]",elu,adam,rmsle,64,0.00014686925374775064,0.002051766285660415,9.34988021850586,3.0577573838527248,0.4254775232649641,-0.002679109573364258
21,"[256, 128, 64, 32]",elu,adam,rmsle,64,0.00023318346436890193,0.0047889868001983115,9.35380744934082,3.058399491456409,0.42508001065234724,-0.0031003952026367188
22,"[256, 128, 64, 32]",elu,adam,rmsle,64,0.00024200566072959742,0.0038740755238251645,9.41865348815918,3.0689824841727558,0.4251459088622264,-0.010054469108581543
23,"[256, 128, 64, 32]",elu,adam,rmsle,64,0.0005813631996989592,0.005097690221254212,9.384743690490723,3.0634529032597713,0.4250683897754903,-0.00641787052154541
24,"[512, 256, 128, 64]",elu,adam,rmsle,64,0.0005935024418766554,0.001564406361277051,9.377994537353516,3.0623511453380905,0.4251724930940613,-0.005694150924682617
25,"[256, 128, 64, 32]",elu,rmsprop,rmsle,64,0.0006597849561795786,0.0039515796256585885,9.420433044433594,3.0692723965841795,0.4251401431766421,-0.010245203971862793
26,"[256, 128, 64]",elu,adam,rmsle,128,0.00016504455671421378,,9.319311141967773,3.0527546809345445,0.42738416783981115,0.0005990266799926758
27,"[256, 128, 64, 32]",elu,adam,rmsle,64,0.00032417937140974683,0.026259749472616237,9.614689826965332,3.1007563314400137,0.43128158343111306,-0.031077265739440918
28,"[256, 128, 64, 32]",elu,adam,mse,64,0.0018159623054637842,0.0027785780280399812,9.142180442810059,3.0236038832509227,0.4281964005845497,0.01959449052810669
29,"[256, 128, 64, 32]",elu,adam,rmse,64,0.0003245907039598498,0.005810934126575821,9.200966835021973,3.0333095514671715,0.42689447375290746,0.01329028606414795
30,"[128, 64, 32]",softplus,rmsprop,rmsle,64,0.00018063346715775056,0.0016439178443099407,26.57870864868164,5.155454262107428,1.3254888514449568,-1.850295066833496
31,"[256, 128, 64, 32]",elu,adam,rmsle,64,0.0002477405425184584,0.005466901699506675,9.413846969604492,3.06819930408774,0.42509206938626953,-0.009539008140563965
32,"[256, 128, 64, 32]",elu,adam,rmsle,64,0.00013686502410233695,0.0031415988970296214,9.35100269317627,3.0579409237551123,0.42506649675188374,-0.002799510955810547
33,"[256, 128, 64, 32]",elu,adam,rmsle,64,0.00011955591908815427,0.003172438527662026,9.306178092956543,3.050602906468907,0.42525798246392077,0.002007424831390381
34,"[256, 128, 64, 32]",elu,adam,rmsle,64,0.0007537847461336503,0.0015145254978349446,9.288619995117188,3.0477237399602326,0.42524303751947073,0.0038903355598449707
35,"[512, 256, 128, 64, 32]",softplus,adam,mse,64,0.0004425278449942929,0.014445727970612148,9.410123825073242,3.067592512879317,0.433987103993568,-0.009139657020568848
36,"[256, 128, 64]",elu,adam,rmsle,64,0.00010098033334137472,0.008042379315219329,9.330096244812012,3.054520624388058,0.42517449078724806,-0.0005575418472290039
