ID,ECLO
ACCIDENT_39609,4.4533086
ACCIDENT_39610,4.1031995
ACCIDENT_39611,5.3087673
ACCIDENT_39612,4.8393893
ACCIDENT_39613,5.1739445
ACCIDENT_39614,4.5563483
ACCIDENT_39615,5.043823
ACCIDENT_39616,3.7891972
ACCIDENT_39617,4.6385612
ACCIDENT_39618,5.0154276
ACCIDENT_39619,4.724317
ACCIDENT_39620,3.765405
ACCIDENT_39621,4.5162582
ACCIDENT_39622,3.6831114
ACCIDENT_39623,3.3716028
ACCIDENT_39624,4.714925
ACCIDENT_39625,4.6299825
ACCIDENT_39626,4.7445974
ACCIDENT_39627,4.647001
ACCIDENT_39628,5.0060215
ACCIDENT_39629,4.317862
ACCIDENT_39630,4.138539
ACCIDENT_39631,4.754067
ACCIDENT_39632,5.020404
ACCIDENT_39633,4.9625397
ACCIDENT_39634,5.225179
ACCIDENT_39635,5.066581
ACCIDENT_39636,5.3070016
ACCIDENT_39637,4.121686
ACCIDENT_39638,4.9997907
ACCIDENT_39639,5.066137
ACCIDENT_39640,4.7517138
ACCIDENT_39641,5.170477
ACCIDENT_39642,4.2010336
ACCIDENT_39643,5.0171704
ACCIDENT_39644,3.6152937
ACCIDENT_39645,4.003087
ACCIDENT_39646,5.232307
ACCIDENT_39647,5.3932853
ACCIDENT_39648,5.42614
ACCIDENT_39649,3.5988238
ACCIDENT_39650,4.1479254
ACCIDENT_39651,3.9803786
ACCIDENT_39652,5.1112123
ACCIDENT_39653,3.4945261
ACCIDENT_39654,3.5309389
ACCIDENT_39655,4.247558
ACCIDENT_39656,4.027549
ACCIDENT_39657,4.664512
ACCIDENT_39658,4.8102016
ACCIDENT_39659,4.1746087
ACCIDENT_39660,4.870165
ACCIDENT_39661,4.5283585
ACCIDENT_39662,4.882683
ACCIDENT_39663,4.7976413
ACCIDENT_39664,3.9726558
ACCIDENT_39665,4.46336
ACCIDENT_39666,3.5408502
ACCIDENT_39667,4.618769
ACCIDENT_39668,3.6787267
ACCIDENT_39669,3.6767898
ACCIDENT_39670,4.541275
ACCIDENT_39671,5.0018725
ACCIDENT_39672,4.634162
ACCIDENT_39673,3.9088047
ACCIDENT_39674,4.8916874
ACCIDENT_39675,4.0432367
ACCIDENT_39676,4.7774806
ACCIDENT_39677,3.8792384
ACCIDENT_39678,3.9157064
ACCIDENT_39679,4.715672
ACCIDENT_39680,4.678003
ACCIDENT_39681,3.9083498
ACCIDENT_39682,4.1598196
ACCIDENT_39683,3.722795
ACCIDENT_39684,3.8859777
ACCIDENT_39685,4.7374997
ACCIDENT_39686,5.09548
ACCIDENT_39687,5.0319543
ACCIDENT_39688,3.6656077
ACCIDENT_39689,4.8983245
ACCIDENT_39690,4.690787
ACCIDENT_39691,3.8636565
ACCIDENT_39692,4.41327
ACCIDENT_39693,3.8890595
ACCIDENT_39694,4.9566636
ACCIDENT_39695,4.514891
ACCIDENT_39696,4.953001
ACCIDENT_39697,4.481118
ACCIDENT_39698,4.798112
ACCIDENT_39699,4.4690337
ACCIDENT_39700,4.5617003
ACCIDENT_39701,4.73549
ACCIDENT_39702,4.5823083
ACCIDENT_39703,4.993372
ACCIDENT_39704,4.660812
ACCIDENT_39705,4.4814124
ACCIDENT_39706,3.5392277
ACCIDENT_39707,4.869347
ACCIDENT_39708,4.780785
ACCIDENT_39709,4.7125115
ACCIDENT_39710,3.7301
ACCIDENT_39711,4.344597
ACCIDENT_39712,4.23349
ACCIDENT_39713,4.4361005
ACCIDENT_39714,4.659741
ACCIDENT_39715,4.9166636
ACCIDENT_39716,4.557176
ACCIDENT_39717,4.4073906
ACCIDENT_39718,4.5691314
ACCIDENT_39719,4.5643563
ACCIDENT_39720,4.5249996
ACCIDENT_39721,4.7986073
ACCIDENT_39722,4.8479357
ACCIDENT_39723,4.697608
ACCIDENT_39724,4.7872458
ACCIDENT_39725,4.7739024
ACCIDENT_39726,4.919174
ACCIDENT_39727,3.5127864
ACCIDENT_39728,4.498858
ACCIDENT_39729,4.8058796
ACCIDENT_39730,4.718656
ACCIDENT_39731,4.7409806
ACCIDENT_39732,3.7595112
ACCIDENT_39733,4.4655356
ACCIDENT_39734,3.5828454
ACCIDENT_39735,4.402828
ACCIDENT_39736,4.3023114
ACCIDENT_39737,4.0677605
ACCIDENT_39738,4.6450467
ACCIDENT_39739,4.729576
ACCIDENT_39740,4.5887675
ACCIDENT_39741,3.7320817
ACCIDENT_39742,4.674875
ACCIDENT_39743,4.4181314
ACCIDENT_39744,4.7243514
ACCIDENT_39745,4.6753926
ACCIDENT_39746,3.6774375
ACCIDENT_39747,4.548598
ACCIDENT_39748,4.7486577
ACCIDENT_39749,3.5484354
ACCIDENT_39750,4.457013
ACCIDENT_39751,3.7251642
ACCIDENT_39752,4.885533
ACCIDENT_39753,4.6052246
ACCIDENT_39754,4.6285734
ACCIDENT_39755,3.8422186
ACCIDENT_39756,4.4055095
ACCIDENT_39757,4.6040435
ACCIDENT_39758,4.789108
ACCIDENT_39759,3.4525652
ACCIDENT_39760,4.568345
ACCIDENT_39761,4.467297
ACCIDENT_39762,4.855188
ACCIDENT_39763,4.587318
ACCIDENT_39764,3.8014448
ACCIDENT_39765,4.940192
ACCIDENT_39766,4.009179
ACCIDENT_39767,3.526809
ACCIDENT_39768,3.667226
ACCIDENT_39769,4.712299
ACCIDENT_39770,4.556359
ACCIDENT_39771,4.594717
ACCIDENT_39772,4.83879
ACCIDENT_39773,4.5188103
ACCIDENT_39774,4.5673995
ACCIDENT_39775,3.5471969
ACCIDENT_39776,3.561206
ACCIDENT_39777,4.7707486
ACCIDENT_39778,4.532738
ACCIDENT_39779,4.8602777
ACCIDENT_39780,4.831075
