ID,ECLO
ACCIDENT_39609,4.2986574
ACCIDENT_39610,3.6702132
ACCIDENT_39611,5.0616255
ACCIDENT_39612,4.507685
ACCIDENT_39613,4.8248725
ACCIDENT_39614,3.9604785
ACCIDENT_39615,4.3783884
ACCIDENT_39616,3.7020953
ACCIDENT_39617,4.161986
ACCIDENT_39618,4.6238794
ACCIDENT_39619,4.394749
ACCIDENT_39620,3.2677743
ACCIDENT_39621,4.0369406
ACCIDENT_39622,3.3055582
ACCIDENT_39623,3.0305116
ACCIDENT_39624,4.6668777
ACCIDENT_39625,4.370069
ACCIDENT_39626,4.5838513
ACCIDENT_39627,4.634087
ACCIDENT_39628,4.856979
ACCIDENT_39629,3.3914385
ACCIDENT_39630,3.5363567
ACCIDENT_39631,4.216587
ACCIDENT_39632,4.3220534
ACCIDENT_39633,4.4984145
ACCIDENT_39634,4.6405687
ACCIDENT_39635,4.597817
ACCIDENT_39636,4.7324004
ACCIDENT_39637,3.4854722
ACCIDENT_39638,4.5239673
ACCIDENT_39639,4.5554857
ACCIDENT_39640,4.242499
ACCIDENT_39641,4.738197
ACCIDENT_39642,3.3126724
ACCIDENT_39643,4.6408553
ACCIDENT_39644,3.1044788
ACCIDENT_39645,3.1863143
ACCIDENT_39646,4.8612237
ACCIDENT_39647,4.9325624
ACCIDENT_39648,5.0124917
ACCIDENT_39649,3.1337962
ACCIDENT_39650,3.7880774
ACCIDENT_39651,3.55232
ACCIDENT_39652,4.8291698
ACCIDENT_39653,3.9126496
ACCIDENT_39654,3.6670024
ACCIDENT_39655,3.9206305
ACCIDENT_39656,3.9012146
ACCIDENT_39657,4.0875406
ACCIDENT_39658,4.324809
ACCIDENT_39659,3.7910254
ACCIDENT_39660,4.2456512
ACCIDENT_39661,3.9498143
ACCIDENT_39662,4.6817417
ACCIDENT_39663,4.2246675
ACCIDENT_39664,3.7101266
ACCIDENT_39665,4.081569
ACCIDENT_39666,3.419449
ACCIDENT_39667,3.8583767
ACCIDENT_39668,3.4916093
ACCIDENT_39669,3.4536147
ACCIDENT_39670,4.0279284
ACCIDENT_39671,4.823741
ACCIDENT_39672,4.6068416
ACCIDENT_39673,3.6549826
ACCIDENT_39674,4.522731
ACCIDENT_39675,3.99047
ACCIDENT_39676,4.1953163
ACCIDENT_39677,3.3538995
ACCIDENT_39678,3.8429198
ACCIDENT_39679,4.2420235
ACCIDENT_39680,4.239465
ACCIDENT_39681,3.2518432
ACCIDENT_39682,4.2089667
ACCIDENT_39683,3.9223895
ACCIDENT_39684,3.606737
ACCIDENT_39685,4.382762
ACCIDENT_39686,4.9407063
ACCIDENT_39687,4.5157413
ACCIDENT_39688,3.4465547
