瘤痢,瘤痢疙,老矫,乞闭扁柯(∑C),乞闭 惑措嚼档(%)
143,措备,2019-01-01,-.6,49.3
143,措备,2019-01-02,-.5,39.3
143,措备,2019-01-03,0,30.1
143,措备,2019-01-04,.9,38
143,措备,2019-01-05,2.4,38.3
143,措备,2019-01-06,.6,29.9
143,措备,2019-01-07,1.2,38.3
143,措备,2019-01-08,1.2,38
143,措备,2019-01-09,-1.3,33.6
143,措备,2019-01-10,1.7,41.5
143,措备,2019-01-11,3,54.6
143,措备,2019-01-12,3.1,88.1
143,措备,2019-01-13,1.8,79.1
143,措备,2019-01-14,2,63
143,措备,2019-01-15,2.6,51.8
143,措备,2019-01-16,-1.9,34.9
143,措备,2019-01-17,1.5,47
143,措备,2019-01-18,2.5,45.6
143,措备,2019-01-19,4.5,46.1
143,措备,2019-01-20,3.4,39.3
143,措备,2019-01-21,1.9,38.5
143,措备,2019-01-22,3.9,45.9
143,措备,2019-01-23,4.2,41.1
143,措备,2019-01-24,2.8,29.3
143,措备,2019-01-25,1.1,35.9
143,措备,2019-01-26,-.3,25.1
143,措备,2019-01-27,.7,34.5
143,措备,2019-01-28,3.1,35.8
143,措备,2019-01-29,1.6,39.9
143,措备,2019-01-30,5.2,34.1
143,措备,2019-01-31,1.4,66.1
143,措备,2019-02-01,0,44.8
143,措备,2019-02-02,3,51
143,措备,2019-02-03,5,85.5
143,措备,2019-02-04,4.1,28.9
143,措备,2019-02-05,3.3,41.3
143,措备,2019-02-06,6.6,40
143,措备,2019-02-07,3.9,41
143,措备,2019-02-08,-.1,26.6
143,措备,2019-02-09,.2,22.5
143,措备,2019-02-10,1,29.3
143,措备,2019-02-11,.6,27.8
143,措备,2019-02-12,1.5,37.4
143,措备,2019-02-13,2.6,28.3
143,措备,2019-02-14,2.1,52.1
143,措备,2019-02-15,4.1,54.4
143,措备,2019-02-16,1,45.9
143,措备,2019-02-17,1.8,31.6
143,措备,2019-02-18,4.9,27.3
143,措备,2019-02-19,3.6,87
143,措备,2019-02-20,3.8,57.4
143,措备,2019-02-21,3.7,60.1
143,措备,2019-02-22,6,54.3
143,措备,2019-02-23,5.6,65
143,措备,2019-02-24,6.9,56.1
143,措备,2019-02-25,9.2,48.5
143,措备,2019-02-26,8.1,51.8
143,措备,2019-02-27,9.1,67.9
143,措备,2019-02-28,9,60.9
143,措备,2019-03-01,8.4,43.3
143,措备,2019-03-02,8,57.9
143,措备,2019-03-03,10,53
143,措备,2019-03-04,10.9,49.8
143,措备,2019-03-05,10.1,52.6
143,措备,2019-03-06,11.2,49.8
143,措备,2019-03-07,8.7,55.5
143,措备,2019-03-08,8.5,52.5
143,措备,2019-03-09,10.9,46
143,措备,2019-03-10,8.5,76
143,措备,2019-03-11,8.2,69.3
143,措备,2019-03-12,8.4,55.8
143,措备,2019-03-13,5.3,30
143,措备,2019-03-14,6.8,30.1
143,措备,2019-03-15,6.8,52
143,措备,2019-03-16,7.6,48.4
143,措备,2019-03-17,8.5,42.9
143,措备,2019-03-18,9,49.6
143,措备,2019-03-19,13.5,43.6
143,措备,2019-03-20,12.6,61.4
143,措备,2019-03-21,13.5,61.8
143,措备,2019-03-22,7.2,40.4
143,措备,2019-03-23,6,42.9
143,措备,2019-03-24,6.6,39.4
143,措备,2019-03-25,9.3,41.5
143,措备,2019-03-26,11.7,44
143,措备,2019-03-27,15,35.1
143,措备,2019-03-28,12.1,61.6
143,措备,2019-03-29,12.5,60.3
143,措备,2019-03-30,9.2,60.4
143,措备,2019-03-31,6.7,39.6
143,措备,2019-04-01,7.1,34.6
143,措备,2019-04-02,8.1,34.1
143,措备,2019-04-03,9.8,26.3
143,措备,2019-04-04,13.1,21.9
143,措备,2019-04-05,15.2,26.5
143,措备,2019-04-06,15.6,25.6
143,措备,2019-04-07,13.1,57.1
143,措备,2019-04-08,13.1,44
143,措备,2019-04-09,9.1,59.3
143,措备,2019-04-10,7.9,78.5
143,措备,2019-04-11,10.5,64.1
143,措备,2019-04-12,12.8,49.8
143,措备,2019-04-13,13.3,45.3
143,措备,2019-04-14,12.5,44.4
143,措备,2019-04-15,14.2,28.3
143,措备,2019-04-16,17,26.1
143,措备,2019-04-17,18,33.8
143,措备,2019-04-18,19,45.4
143,措备,2019-04-19,12,59.3
143,措备,2019-04-20,17.1,48.6
143,措备,2019-04-21,19.4,52.6
143,措备,2019-04-22,17.5,59.9
143,措备,2019-04-23,16,73
143,措备,2019-04-24,18.1,86.4
143,措备,2019-04-25,14.1,67.8
143,措备,2019-04-26,10.1,89.1
143,措备,2019-04-27,12.6,56.5
143,措备,2019-04-28,13.4,56
143,措备,2019-04-29,10.8,88.8
143,措备,2019-04-30,14.6,82.6
143,措备,2019-05-01,17.9,54.3
143,措备,2019-05-02,19,39.4
143,措备,2019-05-03,19.3,40.5
143,措备,2019-05-04,20.3,49
143,措备,2019-05-05,21.6,41.5
143,措备,2019-05-06,15.1,49.1
143,措备,2019-05-07,15.6,42.6
143,措备,2019-05-08,17.8,31.5
143,措备,2019-05-09,20.1,24.9
143,措备,2019-05-10,21.1,28.5
143,措备,2019-05-11,21.6,36.5
143,措备,2019-05-12,18.5,48.4
143,措备,2019-05-13,19.6,55.4
143,措备,2019-05-14,22.8,55.1
143,措备,2019-05-15,22.7,56.3
143,措备,2019-05-16,23.2,48.5
143,措备,2019-05-17,22.5,45.1
143,措备,2019-05-18,18.1,83.6
143,措备,2019-05-19,19.6,82.4
143,措备,2019-05-20,18.8,56.9
143,措备,2019-05-21,18.6,35.6
143,措备,2019-05-22,21.4,33.5
143,措备,2019-05-23,23.2,39.5
143,措备,2019-05-24,25.5,43.6
143,措备,2019-05-25,25.9,38.4
143,措备,2019-05-26,25.5,37.3
143,措备,2019-05-27,21,75.9
143,措备,2019-05-28,19.5,43
143,措备,2019-05-29,22.5,35.5
143,措备,2019-05-30,23.2,32.8
143,措备,2019-05-31,19.9,58
143,措备,2019-06-01,21.3,46.5
143,措备,2019-06-02,23.2,46.1
143,措备,2019-06-03,25.4,44.8
143,措备,2019-06-04,27.1,46.4
143,措备,2019-06-05,27.4,41.4
143,措备,2019-06-06,24.3,60.3
143,措备,2019-06-07,18.5,95.4
143,措备,2019-06-08,21.1,71.1
143,措备,2019-06-09,18.6,70.9
143,措备,2019-06-10,19,63.9
143,措备,2019-06-11,19.4,63.9
143,措备,2019-06-12,21.1,60.5
143,措备,2019-06-13,22.9,55.3
143,措备,2019-06-14,20.2,68.6
143,措备,2019-06-15,21.3,75
143,措备,2019-06-16,20.8,71.4
143,措备,2019-06-17,24,57.1
143,措备,2019-06-18,24.1,60.1
143,措备,2019-06-19,24.6,60.1
143,措备,2019-06-20,26.8,54
143,措备,2019-06-21,25.5,62.4
